date,E_Sagebrush,E_Saltdesert,W_Subalpine,W_Montana,W_Pinyon,W_Sagebrush
2019-05-01 14:20:00,2.897,2.767,4.327,5.416,0.667,2.731
2019-05-01 14:30:00,5.209,1.308,5.111,5.554,1.02,3.471
2019-05-01 14:40:00,4.266,0.209,4.313,3.965,1.051,3.534
2019-05-01 14:50:00,5.717,1.553,3.618,2.234,0.256,3.643
2019-05-01 15:00:00,4.844,1.971,3.279,1.09,0.444,5.03
2019-05-01 15:10:00,2.691,2.01,5.059,1.182,1.283,5.228
2019-05-01 15:20:00,3.509,0.888,5.512,2.271,0.473,4.099
2019-05-01 15:30:00,4.515,0.537,5.763,1.897,1.568,3.919
2019-05-01 15:40:00,4.593,0.797,6.365,2.032,1.448,3.154
2019-05-01 15:50:00,5.956,2.278,5.88,2.591,0.917,3.334
2019-05-01 16:00:00,4.609,2.898,5.808,1.88,2.275,3.895
2019-05-01 16:10:00,4.458,3.185,5.15,1.999,3.096,4.436
2019-05-01 16:20:00,5.88,2.014,4.846,1.681,2.543,5.235
2019-05-01 16:30:00,6.59,3.415,4.471,1.467,4.363,4.134
2019-05-01 16:40:00,5.866,2.734,4.231,1.572,2.785,3.992
2019-05-01 16:50:00,5.888,4.979,4.475,1.988,3.314,2.144
2019-05-01 17:00:00,6.252,6.096,3.827,1.373,3.178,3.323
2019-05-01 17:10:00,5.978,2.87,2.936,1.875,3.65,2.893
2019-05-01 17:20:00,5.827,5.053,3.593,2.053,2.67,4.354
2019-05-01 17:30:00,6.202,7.008,2.641,2.37,4.193,2.138
2019-05-01 17:40:00,6.603,4.635,2.654,2.323,2.973,5.627
2019-05-01 17:50:00,6.384,6.934,3.044,1.838,3.424,3.577
2019-05-01 18:00:00,5.776,5.683,3.574,1.839,3.56,4.629
2019-05-01 18:10:00,2.723,7.984,3.173,1.384,2.281,6.046
2019-05-01 18:20:00,6.479,6.25,3.956,2.487,3.536,4.806
2019-05-01 18:30:00,4.2,8.15,3.262,2.449,2.309,3.989
2019-05-01 18:40:00,6.38,8.96,2.78,2.183,2.235,2.454
2019-05-01 18:50:00,6.899,4.638,3.387,1.801,5.571,3.659
2019-05-01 19:00:00,7.589,5.574,2.367,0.91,3.76,5.934
2019-05-01 19:10:00,6.882,4.497,2.017,2.546,4.175,5.885
2019-05-01 19:20:00,6.022,6.258,2.615,0.552,3.252,5.046
2019-05-01 19:30:00,5.404,4.418,1.542,1.488,3.328,3.957
