date,E_Sagebrush,E_Saltdesert,W_Subalpine,W_Montana,W_Pinyon,W_Sagebrush
2019-06-01 00:10:00,15.21,23.83,6.02,2.002,3.759,4.979
2019-06-01 00:20:00,25.3,23.25,9.01,3.213,4.318,2.543
2019-06-01 00:30:00,16.17,21.02,7.795,5.285,5.33,5.082
2019-06-01 00:40:00,6.405,19.09,7.077,3.95,7.963,5.445
2019-06-01 00:50:00,6.554,10.61,3.317,3.409,5.621,5.044
2019-06-01 01:00:00,10.86,8.79,5.809,4.248,4.277,3.311
2019-06-01 01:10:00,6.297,4.935,6.286,4.502,2.084,4.731
2019-06-01 01:20:00,3.104,7.33,6.042,3.574,1.403,5.061
2019-06-01 01:30:00,2.621,7.105,5.436,2.87,4.605,5.37
2019-06-01 01:40:00,2.231,5.18,4.024,1.843,2.926,8.55
2019-06-01 01:50:00,3.621,3.762,4.181,0.414,1.557,4.777
2019-06-01 02:00:00,5.225,1.611,4.101,0.109,2.827,4.463
2019-06-01 02:10:00,4.503,2.735,3.736,0.853,2.647,3.52
2019-06-01 02:20:00,6.177,3.279,3.819,2.217,3.258,3.633
2019-06-01 02:30:00,9.02,5.447,3.596,1.793,2.887,2.684
2019-06-01 02:40:00,9.76,6.09,2.424,2.704,2.337,3.797
2019-06-01 02:50:00,10.32,6.429,2.397,3.038,3.37,5.7
2019-06-01 03:00:00,9.36,5.302,3.825,3.837,1.988,7.588
2019-06-01 03:10:00,9.38,4.868,3.284,3.076,1.497,3.455
2019-06-01 03:20:00,12.04,5.195,2.606,2.547,1.167,3.473
2019-06-01 03:30:00,11.66,8.08,1.426,3.694,2.659,8.77
2019-06-01 03:40:00,13.29,6.983,2.336,3.549,5.575,6.75
2019-06-01 03:50:00,14.18,2.456,3.635,4.816,6.323,6.882
2019-06-01 04:00:00,10.07,2.075,4.683,6.389,6.008,4.468
2019-06-01 04:10:00,9.74,5.115,5.765,5.476,4.596,9.51
2019-06-01 04:20:00,6.919,3.933,6.602,7.273,7.806,14.58
2019-06-01 04:30:00,4.385,9.19,7.558,7.255,7.737,14.46
2019-06-01 04:40:00,4.816,14.16,7.476,7.536,5.762,11.13
